comuna,year,semestre,n_victimas,habitantes,tasa_homicidios,tasa_homicidio_anterior
13,2021,1er Semestre,5,236468,2.1144510039413364,1.8604478097878159
14,2021,1er Semestre,3,227168,1.3206085364135793,2.1144510039413364
15,2021,1er Semestre,5,182485,2.739951228868126,1.3206085364135793
1,2021,2do Semestre,6,257235,2.3324975217213835,2.739951228868126
2,2021,2do Semestre,3,149371,2.008421982848076,2.3324975217213835
3,2021,2do Semestre,5,193425,2.584981258885873,2.008421982848076
4,2021,2do Semestre,4,240437,1.6636374601246897,2.584981258885873
5,2021,2do Semestre,1,187670,0.5328502158043374,1.6636374601246897
6,2021,2do Semestre,4,185620,2.1549402004094387,0.5328502158043374
7,2021,2do Semestre,3,242188,1.2387071200885262,2.1549402004094387
8,2021,2do Semestre,1,229541,0.4356520185936282,1.2387071200885262
9,2021,2do Semestre,4,171444,2.333123352231633,0.4356520185936282
10,2021,2do Semestre,1,170677,0.5859020254633021,2.333123352231633
11,2021,2do Semestre,4,190105,2.1041003655874384,0.5859020254633021
12,2021,2do Semestre,3,215002,1.3953358573408619,2.1041003655874384
13,2021,2do Semestre,2,236468,0.8457804015765347,1.3953358573408619
14,2021,2do Semestre,1,227168,0.44020284547119315,0.8457804015765347
